0.098115192,2.354425563
0.279192383,3.291898462
0.38263541,4.330309614
0.638025518,5.470627716
1.086947497,6.409230762
2.072389361,7.274148238
3.092496748,8.468325907
4.008884338,8.649407711
4.928039634,8.577336636
5.961155241,8.581695774
6.915529601,8.788254315
7.869350419,9.045443433
8.938515402,9.252486323
9.817746533,9.332145526
10.8125986,9.336343214
11.84543744,9.36601764
12.83779857,9.598052919
13.7924497,9.779296172
14.78536437,9.960700876
15.73918519,10.21788999
16.73154632,10.44992527
17.68647422,10.60585324
